Partido,Id_Provincia,Id_Partido
25 de Mayo,2,1
9 de Julio,2,2
Adolfo Alsina,2,3
Adolfo Gonzales Chaves,2,4
Alberti,2,5
Almirante Brown,2,6
Amba,2,7
Arrecifes,2,8
Avellaneda,2,9
Ayacucho,2,10
Azul,2,11
Bahia Blanca,2,12
Balcarce,2,13
Baradero,2,14
Benito Juarez,2,15
Berazategui,2,16
Berisso,2,17
Bolivar,2,18
Bragado,2,19
Brandsen,2,20
Campana,2,21
Canuelas,2,22
Capitan Sarmiento,2,23
Carlos Casares,2,24
Carlos Tejedor,2,25
Carmen de Areco,2,26
Castelli,2,27
Chacabuco,2,28
Chascomus,2,29
Chivilcoy,2,30
Colon,2,31
Coronel de Marina L. Rosales,2,32
Coronel Dorrego,2,33
Coronel Pringles,2,34
Coronel Suarez,2,35
Daireaux,2,36
Dolores,2,37
Ensenada,2,38
Escobar,2,39
Esteban Echeverria,2,40
Exaltacion de la Cruz,2,41
Ezeiza,2,42
Florencio Varela,2,43
Florentino Ameghino,2,44
General Alvarado,2,45
General Alvear,2,46
General Arenales,2,47
General Belgrano,2,48
General Guido,2,49
General Juan Madariaga,2,50
General la Madrid,2,51
General las Heras,2,52
General Lavalle,2,53
General Paz,2,54
General Pinto,2,55
General Pueyrredon,2,56
General Rodriguez,2,57
General San Martin,2,58
General Viamonte,2,59
General Villegas,2,60
Guamini,2,61
Hipolito Yrigoyen,2,62
Hurlingham,2,63
Ituzaingo,2,64
Jose C. Paz,2,65
Junin,2,66
La Costa,2,67
La Matanza,2,68
La Plata,2,69
Lanus,2,70
Laprida,2,71
Las Flores,2,72
Leandro N. Alem,2,73
Lincoln,2,74
Loberia,2,75
Lobos,2,76
Lomas de Zamora,2,77
Lujan,2,78
Magdalena,2,79
Maipu,2,80
Malvinas Argentinas,2,81
Mar Chiquita,2,82
Marcos Paz,2,83
Mercedes,2,84
Merlo,2,85
Monte,2,86
Monte Hermoso,2,87
Moreno,2,88
Moron,2,89
Navarro,2,90
Necochea,2,91
Olavarria,2,92
Patagones,2,93
Pehuajo,2,94
Pellegrini,2,95
Pergamino,2,96
Pila,2,97
