Velocidad (Mbps),Accesos,Id_Provincia,Id_Partido,Id_Localidad
"0,0","1,0",2,1,1
"0,5","2,0",2,1,1
"0,75","19,0",2,1,1
"3,0","85,0",2,1,1
"3,5","145,0",2,1,1
"6,0","76,0",2,1,1
"8,0","299,0",2,1,1
"10,0","288,0",2,1,1
"15,0","415,0",2,1,1
"20,0","1796,0",2,1,1
"25,0","144,0",2,1,1
"30,0","1501,0",2,1,1
"40,0","27,0",2,1,1
"50,0","647,0",2,1,1
"80,0","9,0",2,1,1
"100,0","693,0",2,1,1
"300,0","95,0",2,1,1
"500,0","3,0",2,1,1
"10,0","59,0",2,1,2
"20,0","5,0",2,1,2
"0,5","1,0",2,1,3
"3,0","181,0",2,1,3
"10,0","10,0",2,1,3
"5,0","75,0",2,1,4
"2,0","106,0",2,1,5
"3,0","3,0",2,1,5
"4,0","56,0",2,1,5
"5,0","7,0",2,1,5
"6,0","3,0",2,1,5
"8,0","4,0",2,1,5
"10,0","1,0",2,1,5
"65,0","1,0",2,1,5
"3,0","5,0",2,1,6
"2,0","174,0",2,1,7
"3,0","32,0",2,1,7
"4,0","9,0",2,1,7
"5,0","8,0",2,1,7
"6,0","914,0",2,1,7
"10,0","2,0",2,1,7
"15,0","322,0",2,1,7
"25,0","29,0",2,1,7
"50,0","20,0",2,1,7
"6,0","2,0",2,1,8
"10,0","177,0",2,1,8
"15,0","3,0",2,1,8
"50,0","25,0",2,1,8
"20,0","11,0",2,1,9
"10,0","245,0",2,1,10
"20,0","18,0",2,1,10
"3,0","11,0",2,2,11
"0,75","9,0",2,2,12
"3,0","198,0",2,2,12
"3,5","114,0",2,2,12
"5,0","154,0",2,2,12
"6,0","4824,0",2,2,12
"7,0","235,0",2,2,12
"8,0","98,0",2,2,12
"10,0","2669,0",2,2,12
"15,0","1239,0",2,2,12
"20,0","1144,0",2,2,12
"30,0","362,0",2,2,12
"50,0","631,0",2,2,12
"100,0","1843,0",2,2,12
"300,0","1068,0",2,2,12
"500,0","33,0",2,2,12
"1000,0","14,0",2,2,12
"3,0","510,0",2,2,13
"1,0","8,0",2,2,14
"3,0","36,0",2,2,14
"4,0","247,0",2,2,14
"6,0","46,0",2,2,14
"10,0","52,0",2,2,14
"1,0","1,0",2,2,15
"2,0","193,0",2,2,15
"6,0","1,0",2,2,15
"10,0","2,0",2,2,15
"3,0","130,0",2,2,16
