Año,Trimestre,Adsl,Cablemodem,Fibra Optica,Wireless,Otros,Total,Año-Trimestre,Id_Provincia
2024,2,214055,2722466,1849476,138638,64745,4989380,20242,2
2024,2,54102,1144781,230402,4493,29821,1463599,20242,1
2024,2,4951,10303,58355,1384,81,75074,20242,3
2024,2,9448,57935,68944,8407,2358,147092,20242,4
2024,2,25955,80704,26516,31118,9930,174223,20242,5
2024,2,93483,443091,477504,62162,9534,1085774,20242,6
2024,2,14849,86226,39792,10295,5313,156475,20242,7
2024,2,31335,158918,68540,23954,11564,294311,20242,8
2024,2,8488,18768,18977,16430,287,62950,20242,9
2024,2,9509,51361,53492,4106,1216,119684,20242,10
2024,2,6778,58647,37226,19510,1102,123263,20242,11
2024,2,2230,55531,23294,6396,30,87481,20242,12
2024,2,17671,66636,188815,27606,925,301653,20242,13
2024,2,20868,76427,87389,14968,6902,206554,20242,14
2024,2,23553,72698,41784,24549,958,163542,20242,15
2024,2,20771,49722,67636,18083,15829,172041,20242,16
2024,2,19831,98511,64689,11807,6503,201341,20242,17
2024,2,12669,16978,45792,23594,6957,105990,20242,18
2024,2,4038,40063,34255,78954,299,157609,20242,19
2024,2,7768,14134,49545,11353,661,83461,20242,20
2024,2,88486,394939,390090,44286,13172,930973,20242,21
2024,2,5328,80000,30008,7058,2920,125314,20242,22
2024,2,9357,47859,3684,177,332,61409,20242,23
2024,2,27968,20806,213753,3869,518,266914,20242,24
2024,1,70108,1177475,203756,4493,48879,1504711,20241,1
2024,1,5901,11025,56542,1384,81,74933,20241,3
2024,1,11343,58929,64463,8404,12404,155543,20241,4
2024,1,26306,77217,26356,30867,9930,170676,20241,5
2024,1,102812,449784,458985,61121,9497,1082199,20241,6
2024,1,18390,85595,38268,10409,5232,157894,20241,7
2024,1,36574,158283,66180,23950,11565,296552,20241,8
2024,1,9147,18631,17908,16851,181,62718,20241,9
2024,1,10554,51093,51084,4106,1216,118053,20241,10
2024,1,6844,59008,35556,19681,1106,122195,20241,11
2024,1,2827,55443,23086,6396,30,87782,20241,12
2024,1,17674,70932,185460,27606,925,302597,20241,13
2024,1,23217,77561,81498,13378,6902,202556,20241,14
2024,1,24076,73298,41577,24387,908,164246,20241,15
2024,1,20841,49727,66889,17733,15829,171019,20241,16
2024,1,23858,99150,61543,11807,6503,202861,20241,17
2024,1,12669,18543,44904,23594,6956,106666,20241,18
2024,1,4038,41260,31539,78954,299,156090,20241,19
2024,1,7768,14435,49545,7799,661,80208,20241,20
2024,1,86548,399817,374288,44162,13773,918588,20241,21
2024,1,6644,80722,27018,7058,2920,124362,20241,22
2024,1,9357,48005,3684,177,332,61555,20241,23
2024,1,33682,20361,205959,4075,518,264595,20241,24
2023,4,223391,2797700,1784593,137993,67943,5011620,20234,2
2023,4,58700,1198835,182520,4492,29820,1474367,20234,1
2023,4,6669,11016,55437,1384,81,74587,20234,3
2023,4,14000,60277,62301,8404,2404,147386,20234,4
2023,4,26306,77217,26174,30543,9930,170170,20234,5
2023,4,115662,452380,440536,61862,8862,1079302,20234,6
2023,4,21769,86102,35968,10402,5231,159472,20234,7
2023,4,41794,159575,61667,24036,11565,298637,20234,8
2023,4,10252,18325,16179,17061,185,62002,20234,9
2023,4,11669,51083,49947,4105,1216,118020,20234,10
2023,4,6844,59063,34331,19982,1106,121326,20234,11
2023,4,3296,55441,22559,6395,30,87721,20234,12
2023,4,17676,70920,182220,27609,926,299351,20234,13
2023,4,25840,79000,75382,12928,7183,200333,20234,14
2023,4,24122,73784,41583,24390,748,164627,20234,15
2023,4,21192,49789,64323,17284,15829,168417,20234,16
2023,4,26765,98853,60800,11806,6508,204732,20234,17
2023,4,12669,18543,42691,22351,6956,103210,20234,18
2023,4,4037,41260,30135,78954,299,154685,20234,19
2023,4,7768,15669,55246,7687,661,87031,20234,20
2023,4,97004,398670,355762,44521,13544,909501,20234,21
