Accesos,Id_Provincia,Id_Partido,Id_Localidad,Id_Tecnologia
755,2,1,1,1
4600,2,1,1,2
2,2,1,1,3
742,2,1,1,4
727,2,1,1,5
181,2,1,3,1
10,2,1,3,6
1,2,1,3,4
75,2,1,4,1
181,2,1,5,5
6,2,1,6,5
782,2,1,7,2
496,2,1,7,3
16,2,1,7,6
185,2,1,7,5
154,2,1,8,1
25,2,1,8,3
21,2,1,8,6
7,2,1,8,5
19,2,2,11,5
4241,2,2,12,1
3463,2,2,12,2
80,2,2,12,7
6238,2,2,12,3
831,2,2,12,5
450,2,2,13,1
60,2,2,13,6
474,2,2,14,5
193,2,2,15,1
2,2,2,15,3
2,2,2,15,6
130,2,2,16,5
81,2,2,17,1
50,2,2,17,5
118,2,2,18,3
42,2,2,18,5
766,2,3,19,1
1,2,3,19,7
1417,2,3,19,3
1,2,3,19,6
1073,2,3,19,5
208,2,3,20,3
60,2,3,21,3
390,2,3,22,3
2,2,3,22,4
14,2,3,22,5
1309,2,3,23,3
464,2,4,24,1
2,2,4,24,7
943,2,4,24,3
690,2,4,24,5
654,2,4,25,3
6,2,4,25,6
57,2,4,25,5
46,2,4,26,5
14,2,4,27,5
335,2,5,28,1
6,2,5,28,7
1,2,5,28,3
2,2,5,28,5
5,2,5,29,5
285,2,5,30,1
24,2,5,31,5
86,2,6,32,1
9190,2,6,32,2
53,2,6,32,7
12086,2,6,32,3
2,2,6,32,6
1,2,6,32,4
26,2,6,32,5
39,2,6,33,1
15962,2,6,33,2
35,2,6,33,7
12081,2,6,33,3
6,2,6,33,6
2,2,6,33,4
309,2,6,33,5
4,2,6,34,1
7379,2,6,34,2
3,2,6,34,7
3987,2,6,34,3
13,2,6,34,6
2,2,6,34,5
5391,2,6,35,2
1,2,6,35,5
11,2,6,36,1
8794,2,6,36,2
10,2,6,36,7
12012,2,6,36,3
12,2,6,36,6
54,2,6,36,5
7243,2,6,37,2
1,2,6,37,7
1605,2,6,37,3
2,2,6,37,6
1,2,6,37,5
16,2,6,38,1
8913,2,6,38,2
20,2,6,38,7
8223,2,6,38,3
4,2,6,38,6
1,2,6,38,5
1,2,6,39,1
4501,2,6,39,2
3,2,6,39,7
787,2,6,39,3
2,2,6,39,6
1,2,6,39,5
3,2,6,40,1
3544,2,6,40,2
4,2,6,40,7
4309,2,6,40,3
1,2,6,40,5
9,2,6,41,1
10634,2,6,41,2
14,2,6,41,7
10091,2,6,41,3
178,2,6,41,6
340,2,6,41,5
3,2,6,42,1
4227,2,6,42,2
4,2,6,42,7
4746,2,6,42,3
127,2,6,42,6
2,2,6,42,5
2,2,6,43,1
8599,2,6,43,2
1,2,6,43,7
1166,2,6,43,3
3,2,6,43,4
1,2,6,43,5
0,2,7,44,2
