Año,Trimestre,Ingresos (miles de pesos),Año-Trimestre
2024,2,"442032167,0",20242
2024,1,"346198986,0",20241
2023,4,"167376015,0",20234
2023,3,"133106593,0",20233
2023,2,"118060280,0",20232
2023,1,"104134993,0",20231
2022,4,"72443483,0",20224
2022,3,"64086784,0",20223
2022,2,"60419501,0",20222
2022,1,"55219313,0",20221
2021,4,"45467887,0",20214
2021,3,"42999944,0",20213
2021,2,"38239667,0",20212
2021,1,"36676371,0",20211
2020,4,"33539703,0",20204
2020,3,"31997445,0",20203
2020,2,"32102476,0",20202
2020,1,"29946216,0",20201
2019,4,"24169251,0",20194
2019,3,"21652748,0",20193
2019,2,"20743118,0",20192
2019,1,"20207414,0",20191
2018,4,"16637687,0",20184
2018,3,"15410981,0",20183
2018,2,"14319467,0",20182
2018,1,"13171459,0",20181
2017,4,"11226127,0",20174
2017,3,"10065998,0",20173
2017,2,"9678647,0",20172
2017,1,"8701201,0",20171
2016,4,"7483980,0",20164
2016,3,"6912442,0",20163
2016,2,"6534241,0",20162
2016,1,"5936845,0",20161
2015,4,"5376899,0",20154
2015,3,"5153739,0",20153
2015,2,"4701791,0",20152
2015,1,"4876385,0",20151
2014,4,"3950441,0",20144
2014,3,"3478638,0",20143
2014,2,"3270816,0",20142
2014,1,"2984054,0",20141
