Año,Trimestre,Accesos por cada 100 hogares,Año-Trimestre,Id_Provincia
2024,2,"79,84",20242,2
2024,2,"116,37",20242,1
2024,2,"68,81",20242,3
2024,2,"44,06",20242,4
2024,2,"86,33",20242,5
2024,2,"90,79",20242,6
2024,2,"51,38",20242,7
2024,2,"68,64",20242,8
2024,2,"39,69",20242,9
2024,2,"58,3",20242,10
2024,2,"101,17",20242,11
2024,2,"79,52",20242,12
2024,2,"52,3",20242,13
2024,2,"57,73",20242,14
2024,2,"78,93",20242,15
2024,2,"71,35",20242,16
2024,2,"55,72",20242,17
2024,2,"51,17",20242,18
2024,2,"103,4",20242,19
2024,2,"69,92",20242,20
2024,2,"81,34",20242,21
2024,2,"49,67",20242,22
2024,2,"108,89",20242,23
2024,2,"60,84",20242,24
2024,1,"81,1",20241,2
2024,1,"119,53",20241,1
2024,1,"68,82",20241,3
2024,1,"46,7",20241,4
2024,1,"84,89",20241,5
2024,1,"90,7",20241,6
2024,1,"51,94",20241,7
2024,1,"69,31",20241,8
2024,1,"39,61",20241,9
2024,1,"57,65",20241,10
2024,1,"100,49",20241,11
2024,1,"80,03",20241,12
2024,1,"52,59",20241,13
2024,1,"56,76",20241,14
2024,1,"79,5",20241,15
2024,1,"71,14",20241,16
2024,1,"56,3",20241,17
2024,1,"51,62",20241,18
2024,1,"102,7",20241,19
2024,1,"67,58",20241,20
2024,1,"80,4",20241,21
2024,1,"49,41",20241,22
2024,1,"109,78",20241,23
2024,1,"60,48",20241,24
2023,4,"80,96",20234,2
2023,4,"117,02",20234,1
2023,4,"68,63",20234,3
2023,4,"44,35",20234,4
2023,4,"84,96",20234,5
2023,4,"90,67",20234,6
2023,4,"52,56",20234,7
2023,4,"69,94",20234,8
2023,4,"39,23",20234,9
2023,4,"57,78",20234,10
2023,4,"99,96",20234,11
2023,4,"80,22",20234,12
2023,4,"52,15",20234,13
2023,4,"56,27",20234,14
2023,4,"79,91",20234,15
2023,4,"70,26",20234,16
2023,4,"56,98",20234,17
2023,4,"50,08",20234,18
2023,4,"102,07",20234,19
2023,4,"73,75",20234,20
2023,4,"79,75",20234,21
2023,4,"49,08",20234,22
2023,4,"110,49",20234,23
2023,4,"61,04",20234,24
2023,3,"80,64",20233,2
2023,3,"116,4",20233,1
2023,3,"68,55",20233,3
2023,3,"42,87",20233,4
2023,3,"84,23",20233,5
2023,3,"90,05",20233,6
2023,3,"52,78",20233,7
2023,3,"68,84",20233,8
2023,3,"38,86",20233,9
2023,3,"57,61",20233,10
2023,3,"99,0",20233,11
2023,3,"80,44",20233,12
2023,3,"52,03",20233,13
2023,3,"55,51",20233,14
2023,3,"79,97",20233,15
2023,3,"68,4",20233,16
2023,3,"57,57",20233,17
2023,3,"50,45",20233,18
2023,3,"98,55",20233,19
2023,3,"40,89",20233,20
2023,3,"79,09",20233,21
2023,3,"48,67",20233,22
2023,3,"105,95",20233,23
2023,3,"61,26",20233,24
2023,2,"79,67",20232,2
2023,2,"115,48",20232,1
2023,2,"67,42",20232,3
2023,2,"42,87",20232,4
2023,2,"82,49",20232,5
2023,2,"90,13",20232,6
2023,2,"52,37",20232,7
2023,2,"64,43",20232,8
2023,2,"38,32",20232,9
2023,2,"57,78",20232,10
2023,2,"98,35",20232,11
2023,2,"80,01",20232,12
2023,2,"52,09",20232,13
2023,2,"55,18",20232,14
2023,2,"78,97",20232,15
2023,2,"68,56",20232,16
2023,2,"57,48",20232,17
2023,2,"47,52",20232,18
2023,2,"93,41",20232,19
2023,2,"41,66",20232,20
2023,2,"78,83",20232,21
2023,2,"47,14",20232,22
2023,2,"106,38",20232,23
2023,2,"60,75",20232,24
2023,1,"79,0",20231,2
2023,1,"122,59",20231,1
2023,1,"66,17",20231,3
2023,1,"43,15",20231,4
2023,1,"85,89",20231,5
2023,1,"88,84",20231,6
2023,1,"52,05",20231,7
2023,1,"64,79",20231,8
2023,1,"38,79",20231,9
2023,1,"58,2",20231,10
2023,1,"96,55",20231,11
2023,1,"79,74",20231,12
2023,1,"51,4",20231,13
2023,1,"53,97",20231,14
2023,1,"78,55",20231,15
2023,1,"69,16",20231,16
2023,1,"57,67",20231,17
2023,1,"49,75",20231,18
2023,1,"90,17",20231,19
2023,1,"43,42",20231,20
2023,1,"78,13",20231,21
2023,1,"47,55",20231,22
2023,1,"104,23",20231,23
2023,1,"60,34",20231,24
2022,4,"78,94",20224,2
2022,4,"122,73",20224,1
2022,4,"65,77",20224,3
2022,4,"43,62",20224,4
2022,4,"85,57",20224,5
2022,4,"89,03",20224,6
2022,4,"51,64",20224,7
2022,4,"64,01",20224,8
2022,4,"39,41",20224,9
2022,4,"58,46",20224,10
2022,4,"94,8",20224,11
