Año,Trimestre,Accesos por cada 100 hab,Año-Trimestre,Id_Provincia
2024,2,"27,43",20242,2
2024,2,"47,44",20242,1
2024,2,"17,5",20242,3
2024,2,"11,78",20242,4
2024,2,"26,46",20242,5
2024,2,"27,79",20242,6
2024,2,"13,53",20242,7
2024,2,"20,52",20242,8
2024,2,"10,1",20242,9
2024,2,"14,91",20242,10
2024,2,"33,33",20242,11
2024,2,"21,17",20242,12
2024,2,"14,6",20242,13
2024,2,"15,72",20242,14
2024,2,"23,49",20242,15
2024,2,"21,95",20242,16
2024,2,"13,49",20242,17
2024,2,"13,03",20242,18
2024,2,"29,59",20242,19
2024,2,"20,8",20242,20
2024,2,"25,58",20242,21
2024,2,"12,33",20242,22
2024,2,"32,28",20242,23
2024,2,"15,07",20242,24
2024,1,"27,8",20241,2
2024,1,"48,78",20241,1
2024,1,"17,5",20241,3
2024,1,"12,48",20241,4
2024,1,"26,02",20241,5
2024,1,"27,77",20241,6
2024,1,"13,68",20241,7
2024,1,"20,72",20241,8
2024,1,"10,08",20241,9
2024,1,"14,74",20241,10
2024,1,"33,11",20241,11
2024,1,"21,3",20241,12
2024,1,"14,67",20241,13
2024,1,"15,46",20241,14
2024,1,"23,66",20241,15
2024,1,"21,88",20241,16
2024,1,"13,63",20241,17
2024,1,"13,15",20241,18
2024,1,"29,39",20241,19
2024,1,"20,1",20241,20
2024,1,"25,28",20241,21
2024,1,"12,26",20241,22
2024,1,"32,54",20241,23
2024,1,"14,98",20241,24
2023,4,"27,68",20234,2
2023,4,"47,8",20234,1
2023,4,"17,46",20234,3
2023,4,"11,85",20234,4
2023,4,"26,04",20234,5
2023,4,"27,76",20234,6
2023,4,"13,84",20234,7
2023,4,"20,91",20234,8
2023,4,"9,98",20234,9
2023,4,"14,77",20234,10
2023,4,"32,93",20234,11
2023,4,"21,35",20234,12
2023,4,"14,55",20234,13
2023,4,"15,33",20234,14
2023,4,"23,78",20234,15
2023,4,"21,61",20234,16
2023,4,"13,8",20234,17
2023,4,"12,75",20234,18
2023,4,"29,21",20234,19
2023,4,"21,94",20234,20
2023,4,"25,08",20234,21
2023,4,"12,18",20234,22
2023,4,"32,75",20234,23
2023,4,"15,12",20234,24
2023,3,"27,5",20233,2
2023,3,"47,6",20233,1
2023,3,"17,44",20233,3
2023,3,"11,46",20233,4
2023,3,"25,82",20233,5
2023,3,"27,57",20233,6
2023,3,"13,9",20233,7
2023,3,"20,58",20233,8
2023,3,"9,89",20233,9
2023,3,"14,73",20233,10
2023,3,"32,62",20233,11
2023,3,"21,41",20233,12
2023,3,"14,52",20233,13
2023,3,"15,12",20233,14
2023,3,"23,8",20233,15
2023,3,"21,04",20233,16
2023,3,"13,94",20233,17
2023,3,"12,85",20233,18
2023,3,"28,2",20233,19
2023,3,"12,17",20233,20
2023,3,"24,87",20233,21
2023,3,"12,08",20233,22
2023,3,"31,41",20233,23
2023,3,"15,17",20233,24
2023,2,"27,1",20232,2
2023,2,"47,27",20232,1
2023,2,"17,15",20232,3
2023,2,"11,46",20232,4
2023,2,"25,28",20232,5
2023,2,"27,59",20232,6
2023,2,"13,79",20232,7
2023,2,"19,26",20232,8
2023,2,"9,75",20232,9
2023,2,"14,78",20232,10
2023,2,"32,4",20232,11
2023,2,"21,3",20232,12
2023,2,"14,54",20232,13
2023,2,"15,03",20232,14
2023,2,"23,5",20232,15
2023,2,"21,09",20232,16
2023,2,"13,92",20232,17
2023,2,"12,1",20232,18
2023,2,"26,73",20232,19
2023,2,"12,39",20232,20
2023,2,"24,79",20232,21
2023,2,"11,7",20232,22
2023,2,"31,54",20232,23
2023,2,"15,05",20232,24
2023,1,"26,81",20231,2
2023,1,"50,23",20231,1
2023,1,"16,83",20231,3
2023,1,"11,53",20231,4
2023,1,"26,32",20231,5
2023,1,"27,2",20231,6
2023,1,"13,71",20231,7
2023,1,"19,37",20231,8
2023,1,"9,87",20231,9
2023,1,"14,88",20231,10
2023,1,"31,81",20231,11
2023,1,"21,23",20231,12
2023,1,"14,34",20231,13
2023,1,"14,7",20231,14
2023,1,"23,38",20231,15
2023,1,"21,27",20231,16
2023,1,"13,97",20231,17
2023,1,"12,67",20231,18
2023,1,"25,8",20231,19
2023,1,"12,92",20231,20
2023,1,"24,57",20231,21
2023,1,"11,8",20231,22
2023,1,"30,9",20231,23
2023,1,"14,95",20231,24
2022,4,"26,72",20224,2
2022,4,"50,35",20224,1
2022,4,"16,73",20224,3
2022,4,"11,66",20224,4
2022,4,"26,23",20224,5
2022,4,"27,26",20224,6
2022,4,"13,6",20224,7
2022,4,"19,14",20224,8
2022,4,"10,03",20224,9
2022,4,"14,95",20224,10
