Año,Trimestre,Ingresos (miles de $),Año-Trimestre
2014,1,"2916071,754",20141
2014,2,"2974865,204",20142
2014,3,"3105462,022",20143
2014,4,"3339690,895",20144
2015,1,"3260124,752",20151
2015,2,"3425518,48",20152
2015,3,"3590883,181",20153
2015,4,"3815364,119",20154
2016,1,"4198260,392",20161
2016,2,"4718769,816",20162
2016,3,"4951967,656",20163
2016,4,"4964596,393",20164
2017,1,"6375681,756",20171
2017,2,"6970617,225",20172
2017,3,"6667943,526",20173
2017,4,"5514336,188",20174
2018,1,"8252279,991",20181
2018,2,"7911723,066",20182
2018,3,"10111350,574",20183
2018,4,"8997157,88",20184
2019,1,"12238568,393",20191
2019,2,"14181055,209",20192
2019,3,"13404569,149",20193
2019,4,"20321577,161",20194
2020,1,"17067597,815",20201
2020,2,"21035522,89",20202
2020,3,"18162023,887",20203
2020,4,"19750303,976",20204
2021,1,"21378667,685",20211
2021,2,"22178751,89",20212
2021,3,"20789995,213",20213
2021,4,"40616059,171",20214
2022,1,"30583344,001",20221
2022,2,"31258182,505",20222
2022,3,"29698512,567",20223
2022,4,"32356913,919",20224
2023,1,"60878900,187",20231
2023,2,"64560388,187",20232
2023,3,"58985969,276",20233
2023,4,"62663319,903",20234
2024,1,"142662288,123",20241
2024,2,"192408357,33",20242
