Año,Trimestre,Ingresos (miles de $),Año-Trimestre
2013,1,13135235,20131
2013,2,13970806,20132
2013,3,15235659,20133
2013,4,16218846,20134
2014,1,15938353,20141
2014,2,17680972,20142
2014,3,18976053,20143
2014,4,20012332,20144
2015,1,19337342,20151
2015,2,19945453,20152
2015,3,21785238,20153
2015,4,24881967,20154
2016,1,24763052,20161
2016,2,25353971,20162
2016,3,27416177,20163
2016,4,30143233,20164
2017,1,31205565,20171
2017,2,33509264,20172
2017,3,35711689,20173
2017,4,38110028,20174
2018,1,38733946,20181
2018,2,40653502,20182
2018,3,43280089,20183
2018,4,44026803,20184
2019,1,50246691,20191
2019,2,55338816,20192
2019,3,60905891,20193
2019,4,65388842,20194
2020,1,72077147,20201
2020,2,73538944,20202
2020,3,79634755,20203
2020,4,83479114,20204
2021,1,93112153,20211
2021,2,104782020,20212
2021,3,117751925,20213
2021,4,127389786,20214
2022,1,130454676,20221
2022,2,153032313,20222
2022,3,180356862,20223
2022,4,216233244,20224
2023,1,257558366,20231
2023,2,307337085,20232
2023,3,380119973,20233
2023,4,515335742,20234
2024,1,769485386,20241
2024,2,1108472514,20242
