Año,Trimestre,Banda ancha fija,Dial up,Total,Año-Trimestre
2024,2,11544314,11793,11556107,20242
2024,1,11621363,11793,11633156,20241
2023,4,11535868,11793,11547661,20234
2023,3,11395115,11793,11406908,20233
2023,2,11239781,12116,11251897,20232
2023,1,11229459,12436,11241895,20231
2022,4,11195668,12446,11208114,20224
2022,3,11078691,12437,11091128,20223
2022,2,10946248,12436,10958684,20222
2022,1,10611390,12619,10624009,20221
2021,4,10476933,12861,10489794,20214
2021,3,10075184,10357,10085541,20213
2021,2,9852702,10382,9863084,20212
2021,1,9637956,10016,9647972,20211
2020,4,9561546,10016,9571562,20204
2020,3,9346183,10016,9356199,20203
2020,2,9021040,10016,9031056,20202
2020,1,8802435,9991,8812426,20201
2019,4,8783053,10128,8793181,20194
2019,3,9142891,21793,9164684,20193
2019,2,8938427,21754,8960181,20192
2019,1,8626323,21812,8648135,20191
2018,4,8451841,21814,8473655,20184
2018,3,8320223,26812,8347035,20183
2018,2,8083533,26911,8110444,20182
2018,1,8009981,27072,8037053,20181
2017,4,7842778,27444,7870222,20174
2017,3,7696594,28349,7724943,20173
2017,2,7401134,28530,7429664,20172
2017,1,7277314,28540,7305854,20171
2016,4,7223128,28545,7251673,20164
2016,3,7178340,28610,7206950,20163
2016,2,7097604,32475,7130079,20162
2016,1,6874704,32652,6907356,20161
2015,4,6952289,32542,6984831,20154
2015,3,6902267,32801,6935068,20153
2015,2,6783279,32909,6816188,20152
2015,1,6699714,38018,6737732,20151
2014,4,6559172,39324,6598496,20144
2014,3,6559264,36007,6595271,20143
2014,2,6428329,36139,6464468,20142
2014,1,6362108,36290,6398398,20141
