Año,Trimestre,Mbps (Media de bajada),Año-Trimestre,Id_Provincia
2024,2,"157,41",20242,2
2024,2,"233,01",20242,1
2024,2,"97,38",20242,3
2024,2,"107,76",20242,4
2024,2,"21,67",20242,5
2024,2,"117,39",20242,6
2024,2,"104,26",20242,7
2024,2,"100,98",20242,8
2024,2,"82,66",20242,9
2024,2,"49,87",20242,10
2024,2,"28,73",20242,11
2024,2,"64,24",20242,12
2024,2,"55,32",20242,13
2024,2,"96,15",20242,14
2024,2,"97,04",20242,15
2024,2,"75,05",20242,16
2024,2,"87,03",20242,17
2024,2,"32,17",20242,18
2024,2,"181,61",20242,19
2024,2,"29,89",20242,20
2024,2,"102,51",20242,21
2024,2,"48,95",20242,22
2024,2,"22,09",20242,23
2024,2,"108,93",20242,24
2024,1,"159,13",20241,2
2024,1,"229,94",20241,1
2024,1,"91,45",20241,3
2024,1,"107,51",20241,4
2024,1,"20,5",20241,5
2024,1,"114,89",20241,6
2024,1,"102,49",20241,7
2024,1,"101,36",20241,8
2024,1,"83,8",20241,9
2024,1,"47,52",20241,10
2024,1,"26,55",20241,11
2024,1,"63,71",20241,12
2024,1,"51,85",20241,13
2024,1,"94,98",20241,14
2024,1,"98,16",20241,15
2024,1,"75,0",20241,16
2024,1,"84,34",20241,17
2024,1,"30,58",20241,18
2024,1,"179,49",20241,19
2024,1,"31,6",20241,20
2024,1,"100,2",20241,21
2024,1,"44,9",20241,22
2024,1,"21,54",20241,23
2024,1,"103,36",20241,24
2023,4,"158,49",20234,2
2023,4,"234,44",20234,1
2023,4,"89,4",20234,3
2023,4,"107,14",20234,4
2023,4,"20,29",20234,5
2023,4,"114,03",20234,6
2023,4,"100,9",20234,7
2023,4,"101,18",20234,8
2023,4,"83,35",20234,9
2023,4,"46,2",20234,10
2023,4,"25,61",20234,11
2023,4,"64,18",20234,12
2023,4,"49,46",20234,13
2023,4,"93,65",20234,14
2023,4,"99,63",20234,15
2023,4,"74,37",20234,16
2023,4,"83,04",20234,17
2023,4,"24,78",20234,18
2023,4,"174,59",20234,19
2023,4,"36,77",20234,20
2023,4,"99,81",20234,21
2023,4,"44,22",20234,22
2023,4,"17,92",20234,23
2023,4,"101,55",20234,24
2023,3,"146,84",20233,2
2023,3,"218,13",20233,1
2023,3,"87,9",20233,3
2023,3,"107,5",20233,4
2023,3,"19,26",20233,5
2023,3,"111,5",20233,6
2023,3,"99,64",20233,7
2023,3,"96,26",20233,8
2023,3,"80,29",20233,9
2023,3,"44,55",20233,10
2023,3,"24,21",20233,11
2023,3,"63,84",20233,12
2023,3,"46,96",20233,13
2023,3,"91,49",20233,14
2023,3,"96,57",20233,15
2023,3,"70,93",20233,16
2023,3,"80,8",20233,17
2023,3,"24,45",20233,18
2023,3,"104,97",20233,19
2023,3,"15,67",20233,20
2023,3,"97,39",20233,21
2023,3,"41,46",20233,22
2023,3,"17,17",20233,23
2023,3,"98,85",20233,24
2023,2,"138,35",20232,2
2023,2,"208,01",20232,1
2023,2,"86,13",20232,3
2023,2,"105,45",20232,4
2023,2,"18,58",20232,5
2023,2,"111,82",20232,6
2023,2,"97,21",20232,7
2023,2,"89,37",20232,8
2023,2,"77,32",20232,9
2023,2,"43,56",20232,10
2023,2,"22,78",20232,11
2023,2,"63,55",20232,12
2023,2,"42,69",20232,13
2023,2,"90,55",20232,14
2023,2,"93,97",20232,15
2023,2,"70,76",20232,16
2023,2,"79,1",20232,17
2023,2,"20,39",20232,18
2023,2,"103,84",20232,19
2023,2,"15,48",20232,20
2023,2,"94,87",20232,21
2023,2,"37,62",20232,22
2023,2,"16,92",20232,23
2023,2,"96,69",20232,24
2023,1,"116,18",20231,2
2023,1,"188,65",20231,1
2023,1,"87,41",20231,3
2023,1,"104,33",20231,4
2023,1,"18,36",20231,5
2023,1,"109,57",20231,6
2023,1,"94,8",20231,7
2023,1,"86,71",20231,8
2023,1,"73,96",20231,9
2023,1,"42,75",20231,10
2023,1,"20,09",20231,11
2023,1,"63,13",20231,12
2023,1,"41,45",20231,13
2023,1,"89,81",20231,14
2023,1,"93,42",20231,15
