Año,Id_Trimestre,Velocidad,Accesos,Id_Provincia,Año-Trimestre
2024,2,"75,0",1062,2,20242
2024,2,"59,0",59,2,20242
2024,2,"480,0",5,2,20242
2024,2,"3,5",41735,2,20242
2024,2,"18,0",1042,2,20242
2024,2,"9,0",750,2,20242
2024,2,"17,0",2,2,20242
2024,2,"8,0",63727,2,20242
2024,2,"105,0",14,2,20242
2024,2,"500,0",137199,2,20242
2024,2,"24,0",84,2,20242
2024,2,"85,0",16,2,20242
2024,2,"32,0",16,2,20242
2024,2,"55,0",255,2,20242
2024,2,"31,0",1611,2,20242
2024,2,"120,0",510,2,20242
2024,2,"4,5",83,2,20242
2024,2,"23,0",20,2,20242
2024,2,"70,0",7236,2,20242
2024,2,"22,0",1,2,20242
2024,2,"256,0",15,2,20242
2024,2,"0,256",25,2,20242
2024,2,"35,0",1399,2,20242
2024,2,"205,0",3,2,20242
2024,2,"4,0",13200,2,20242
2024,2,"11,0",10,2,20242
2024,2,"155,0",28,2,20242
2024,2,"21,0",2,2,20242
2024,2,"2,0",19065,2,20242
2024,2,"512,0",663,2,20242
2024,2,"65,0",90,2,20242
2024,2,"125,0",2,2,20242
2024,2,"10,0",145894,2,20242
2024,2,"999,0",26,2,20242
2024,2,"212,0",1,2,20242
2024,2,"2,5",21,2,20242
2024,2,"13,0",238,2,20242
2024,2,"41,0",9,2,20242
2024,2,"246,0",41,2,20242
2024,2,"7,5",53,2,20242
2024,2,"250,0",355,2,20242
2024,2,"40,0",5582,2,20242
2024,2,"61,0",78,2,20242
2024,2,"200,0",8055,2,20242
2024,2,"102,0",2,2,20242
2024,2,"60,0",37539,2,20242
2024,2,"320,0",27,2,20242
2024,2,"12,0",19838,2,20242
2024,2,"30,0",782519,2,20242
2024,2,"6,0",76832,2,20242
2024,2,"600,0",16300,2,20242
2024,2,"25,0",42739,2,20242
2024,2,"0,0",125547,2,20242
2024,2,"80,0",9358,2,20242
2024,2,"90,0",3,2,20242
2024,2,"50,0",493790,2,20242
2024,2,"5,0",27135,2,20242
2024,2,"48,0",659,2,20242
2024,2,"240,0",938,2,20242
2024,2,"16,0",231,2,20242
2024,2,"1000,0",129855,2,20242
2024,2,"51,0",1,2,20242
2024,2,"160,0",1306,2,20242
2024,2,"800,0",564,2,20242
2024,2,"15,0",94642,2,20242
2024,2,"49,0",1,2,20242
2024,2,"300,0",1147130,2,20242
2024,2,"1,5",141,2,20242
2024,2,"150,0",388059,2,20242
2024,2,"14,0",149,2,20242
2024,2,"1,0",18423,2,20242
2024,2,"0,5",25048,2,20242
2024,2,"0,512",214,2,20242
2024,2,"20,0",128376,2,20242
2024,2,"100,0",910372,2,20242
2024,2,"0,75",4611,2,20242
2024,2,"7,0",11236,2,20242
2024,2,"36,0",4,2,20242
2024,2,"400,0",1094,2,20242
2024,2,"3,0",44415,2,20242
2024,2,"160,0",5,1,20242
2024,2,"7,0",7,1,20242
2024,2,"150,0",116134,1,20242
2024,2,"999,0",25,1,20242
2024,2,"9,0",3,1,20242
2024,2,"110,0",1,1,20242
2024,2,"1000,0",65689,1,20242
2024,2,"16,0",5,1,20242
2024,2,"400,0",3,1,20242
2024,2,"10,0",23421,1,20242
2024,2,"1,0",2815,1,20242
2024,2,"3,5",11975,1,20242
2024,2,"125,0",3,1,20242
2024,2,"21,0",1,1,20242
2024,2,"0,512",35,1,20242
2024,2,"40,0",238,1,20242
2024,2,"250,0",1442,1,20242
2024,2,"12,0",93,1,20242
2024,2,"55,0",1,1,20242
2024,2,"100,0",396858,1,20242
2024,2,"4,0",996,1,20242
2024,2,"25,0",269,1,20242
2024,2,"0,75",1307,1,20242
2024,2,"20,0",3718,1,20242
2024,2,"200,0",3302,1,20242
2024,2,"325,0",2,1,20242
2024,2,"5,0",3417,1,20242
2024,2,"70,0",3,1,20242
2024,2,"8,0",16865,1,20242
2024,2,"225,0",1,1,20242
2024,2,"75,0",711,1,20242
2024,2,"120,0",28,1,20242
2024,2,"50,0",64416,1,20242
2024,2,"66,0",1,1,20242
2024,2,"0,256",32,1,20242
2024,2,"2,0",240,1,20242
2024,2,"11,0",5,1,20242
2024,2,"35,0",24,1,20242
2024,2,"0,0",0,1,20242
2024,2,"15,0",29337,1,20242
2024,2,"500,0",77839,1,20242
2024,2,"80,0",13,1,20242
2024,2,"3,0",2342,1,20242
2024,2,"6,0",5569,1,20242
2024,2,"30,0",58419,1,20242
2024,2,"60,0",3890,1,20242
2024,2,"700,0",1,1,20242
2024,2,"600,0",437,1,20242
2024,2,"220,0",1,1,20242
2024,2,"0,5",451,1,20242
2024,2,"275,0",1,1,20242
2024,2,"300,0",571207,1,20242
2024,2,"800,0",1,1,20242
2024,2,"1000,0",33,3,20242
2024,2,"30,0",858,3,20242
2024,2,"15,0",1859,3,20242
2024,2,"3,0",1580,3,20242
2024,2,"600,0",1128,3,20242
2024,2,"12,0",8,3,20242
2024,2,"0,512",37,3,20242
2024,2,"200,0",42,3,20242
2024,2,"0,256",1,3,20242
2024,2,"4,0",1,3,20242
2024,2,"0,0",53,3,20242
2024,2,"24,0",374,3,20242
2024,2,"10,0",3093,3,20242
2024,2,"50,0",34532,3,20242
2024,2,"100,0",19077,3,20242
2024,2,"500,0",333,3,20242
2024,2,"20,0",1932,3,20242
2024,2,"25,0",47,3,20242
2024,2,"1,0",164,3,20242
2024,2,"5,0",327,3,20242
2024,2,"2,0",115,3,20242
2024,2,"300,0",8809,3,20242
2024,2,"6,0",637,3,20242
2024,2,"0,5",34,3,20242
2024,2,"0,5",234,4,20242
2024,2,"9,0",1,4,20242
2024,2,"0,512",2,4,20242
2024,2,"5,0",5625,4,20242
